Location Name,District,Governorate,Latitude,Longitude,Population,Economic,Social,Number of Families,Date,Origin
Hay Al Askari,Tikrit,Salah al-Din,34.6864536,43.7163503,2.328,0.184,29.3,100,10-Apr-15,Baghdad
Mahalla Al muwadafeen,Tikrit,Salah al-Din,34.68825,43.7121611,2.276,0.451,29.3,75,10-Apr-15,Baghdad
Ein Alhilwa,Telafar,Ninewa,36.59539635,42.61828182,2.116,0.218,26.4,85,10-Apr-15,Dahuk
Kahreez,Telafar,Ninewa,36.56387553,42.57253957,1.69,0.134,25.5,800,10-Jul-15,Dahuk
Ain Hilwa Upper,Telafar,Ninewa,36.60537426,42.62355125,1.585,0.37,37.8,231,10-Apr-15,Dahuk
Ein Gahesheya Village,Telafar,Ninewa,36.60094639,42.64323532,1.585,0.203,26.4,65,10-Apr-15,Dahuk
Jussa,Telafar,Ninewa,36.59552802,42.68164289,1.516,0.087,23.8,203,10-Apr-15,Dahuk
Karash village 1,Telafar,Ninewa,36.546283,42.48688829,1.514,0,32,30,10-Apr-15,Dahuk
Karash village 2,Telafar,Ninewa,36.54602806,42.47734519,1.504,0.134,25.5,50,10-Feb-15,Dahuk
Karash village 3,Telafar,Ninewa,36.548579,42.46398,1.501,0,30,100,10-Feb-15,Dahuk
kirver village,Telafar,Ninewa,36.685933,42.598468,1.495,0.127,27.3,679,10-Jul-15,Dahuk
Gul Mohamed village,Telafar,Ninewa,36.545873,42.445434,1.489,0.451,29.3,70,10-Feb-15,Dahuk
Al Mafri,Telafar,Ninewa,36.60934422,42.56869471,1.484,0.345,27.3,355,10-Feb-15,Dahuk
Qasr Sarij,Telafar,Ninewa,36.55342282,42.51201842,1.474,0,29.6,770,10-Jul-15,Dahuk
Sahel Hamad Village,Telafar,Ninewa,36.57845793,42.64486974,1.473,0.124,23.8,38,10-Feb-15,Dahuk
Qaryat Tal Maraq Al Sufla,Telafar,Ninewa,36.59377779,42.52574229,1.472,0.184,29.3,200,10-Feb-15,Dahuk
Al-Arabdah Village,Al-Khalis,Diyala,34.08057011,44.91989902,1.469,0.153,34.3,200,10-Feb-15,Diyala
Ali Abdulla village,Al-Khalis,Diyala,34.12538413,44.84383408,1.453,0.345,27.3,8,10-Feb-15,Diyala
Al-Makareen Village,Al-Khalis,Diyala,34.086577,44.929877,1.436,0.081,12.1,230,10-Feb-15,Diyala
Al-Mashroo Village,Al-Khalis,Diyala,34.0674633,44.77901428,1.433,0.396,34.3,65,10-Feb-15,Diyala
Al-Sadah Village,Al-Khalis,Diyala,34.08593048,44.72657487,1.403,0.301,34.3,205,10-Feb-15,Diyala
Dawod Al-Salom village,Al-Khalis,Diyala,34.12569087,44.84357874,1.402,0.271,34.3,140,10-Apr-15,Diyala
Al Askary Qtr,Al-Khalis,Diyala,34.06720728,44.86172578,1.396,0.301,34.3,230,10-Apr-15,Diyala
Al Aqssa Village,Al-Khalis,Diyala,34.06579285,44.87062591,1.357,0.088,22.6,120,10-Apr-15,Diyala
Bizayiz Sherwin Village,Al-Khalis,Diyala,34.040578,44.881273,1.348,0,32,102,10-Apr-15,Diyala
Al Marfoo Village,Al-Khalis,Diyala,34.05019937,44.78315739,1.348,0.184,29.3,70,10-Apr-15,Diyala
Alwan Al Hadid Village,Al-Khalis,Diyala,34.02365221,44.86547926,1.344,0.323,27.3,82,10-Apr-15,Diyala
Al Bayat Village,Al-Khalis,Diyala,34.09172564,44.93657436,1.338,0.178,23.8,30,10-Apr-15,Diyala
Bazaiz Al Mashroo Village,Al-Khalis,Diyala,34.07514466,44.77862854,1.337,0.207,29.6,57,10-Apr-15,Diyala
Habib Al Abdulla Village,Al-Khalis,Diyala,34.05390233,44.8922767,1.317,0.045,24,200,10-Apr-15,Diyala
Habib Al Khaizaran Village,Al-Khalis,Diyala,34.121222,44.82899997,1.314,0.119,34.3,200,10-Apr-15,Diyala
Al Mansouriyah-Hamada Village,Al-Khalis,Diyala,34.03136641,44.87252433,1.313,0,32,100,10-Apr-15,Diyala
Hamza Al Najim Village,Al-Khalis,Diyala,34.03901602,44.88358593,1.311,0.356,34.3,85,10-Apr-15,Diyala
Dalli Abass-Al-Dhobat Qtr,Al-Khalis,Diyala,34.07316955,44.85587074,1.31,0.119,34.3,150,10-Apr-15,Diyala
Dalli Abass-Al Mualimen Qtr,Al-Khalis,Diyala,34.07036711,44.87058006,1.308,0.146,28.2,200,10-Apr-15,Diyala
Dali Abbas-Al Qadim Qtr,Al-Khalis,Diyala,34.073397,44.8639966,1.307,0,30,333,10-Apr-15,Diyala
Dalli Abass-Al Rasheed Qtr,Al-Khalis,Diyala,34.06989152,44.86440017,1.304,0.215,29.6,390,10-Apr-15,Diyala
Dalli Abass-Kurd Ali,Al-Khalis,Diyala,34.06963956,44.85989045,1.297,0.345,27.3,130,10-Apr-15,Diyala
Mohammed Ali Village,Al-Khalis,Diyala,34.04549809,44.88205377,1.295,0.233,37.8,112,10-Apr-15,Diyala
Mohammed Taha Village,Al-Khalis,Diyala,34.03490537,44.87478459,1.28,0.218,26.4,75,10-Apr-15,Diyala
Najim Al Abdulla Village,Al-Khalis,Diyala,34.03934238,44.87989001,1.271,0.192,25.7,182,10-Apr-15,Diyala
Somair village,Al-Khalis,Diyala,34.05691902,44.88446184,1.27,0.29,23.6,70,10-Apr-15,Diyala
Abu musa village,Al-Muqdadiya,Diyala,34.00539076,44.8768824,1.269,0.238,28.2,180,10-Apr-15,Diyala
Al Derwish Village,Al-Muqdadiya,Diyala,34.01548358,44.90919527,1.264,0.192,25.7,14,10-Apr-15,Diyala
Al Lihayb Village,Al-Muqdadiya,Diyala,34.0055888,44.87929659,1.257,0.451,29.3,120,10-Apr-15,Diyala
Al Mithaq Village,Al-Muqdadiya,Diyala,34.0059,44.9477,1.253,0.119,34.3,40,10-Apr-15,Diyala
Al Qalaa Village,Al-Muqdadiya,Diyala,34.01496421,44.91514897,1.246,0.058,12,50,10-Apr-15,Diyala
Al Oqood Village,Al-Muqdadiya,Diyala,34.03802,44.98449,1.238,0,12,80,10-Apr-15,Diyala
Al Wazan Village,Al-Muqdadiya,Diyala,34.03579,44.98483,1.237,0,10.6,44,10-Apr-15,Diyala
Haj fadhil village,Al-Muqdadiya,Diyala,34.00214397,44.87796137,1.237,0.37,37.8,16,10-Apr-15,Diyala
Hamada village,Al-Muqdadiya,Diyala,34.01124609,44.9009763,1.234,0.087,25.7,100,10-Apr-15,Diyala
Imam Talib Village,Al-Muqdadiya,Diyala,34.04016742,44.98807403,1.233,0,34.5,110,10-Apr-15,Diyala
Nahr Al Shaykh Village,Al-Muqdadiya,Diyala,33.99816435,44.97504293,1.23,0.16,18.1,57,10-Apr-15,Diyala
Shok Al Reem village,Al-Muqdadiya,Diyala,34.00320627,44.9808972,1.222,0.37,37.8,219,10-Apr-15,Diyala
Skheyr village,Al-Muqdadiya,Diyala,34.023759,44.99619645,1.216,0.298,29.9,140,10-Apr-15,Diyala
Al Ahad Al Jadid village,Tikrit,Salah al-Din,34.72004017,43.69731076,1.203,0.119,34.3,300,10-Apr-15,Erbil
Hay Al sinay-Al samad,Tikrit,Salah al-Din,34.71278936,43.71913112,1.202,0.071,13.6,200,10-Apr-15,Erbil
Mahalla Al-aed-5,Tikrit,Salah al-Din,34.700858,43.713857,1.196,0,30,100,10-Apr-15,Erbil
Ali Abdulla village,Al-Khalis,Diyala,34.12538413,44.84383408,1.188,0.124,25.5,2,10-Apr-15,Kirkuk
Al-Makareen Village,Al-Khalis,Diyala,34.086577,44.929877,1.184,0.058,12,50,10-Apr-15,Kirkuk
Al Askary Qtr,Al-Khalis,Diyala,34.06720728,44.86172578,1.183,0.271,34.3,57,10-Apr-15,Kirkuk
Al Aqssa Village,Al-Khalis,Diyala,34.06579285,44.87062591,1.161,0,32,25,10-Apr-15,Kirkuk
Bizayiz Sherwin Village,Al-Khalis,Diyala,34.040578,44.881273,1.153,0.105,13.3,38,10-Apr-15,Kirkuk
Habib Al Abdulla Village,Al-Khalis,Diyala,34.05390233,44.8922767,1.152,0.179,29.3,80,10-Apr-15,Kirkuk
Habib Al Khaizaran Village,Al-Khalis,Diyala,34.121222,44.82899997,1.131,0.233,37.8,20,10-Apr-15,Kirkuk
Al Mansouriyah-Hamada Village,Al-Khalis,Diyala,34.03136641,44.87252433,1.109,0.146,22.2,50,10-Apr-15,Kirkuk
Dalli Abass-Al-Dhobat Qtr,Al-Khalis,Diyala,34.07316955,44.85587074,1.105,0.345,27.3,39,10-Apr-15,Kirkuk
Dalli Abass-Al Mualimen Qtr,Al-Khalis,Diyala,34.07036711,44.87058006,1.105,0.039,34.5,50,10-Apr-15,Kirkuk
Dali Abbas-Al Qadim Qtr,Al-Khalis,Diyala,34.073397,44.8639966,1.104,0.137,29.3,45,10-Apr-15,Kirkuk
Dalli Abass-Al Rasheed Qtr,Al-Khalis,Diyala,34.06989152,44.86440017,1.101,0.194,34.3,17,10-Apr-15,Kirkuk
Dalli Abass-Al Shekh Hassan Qtr,Al-Khalis,Diyala,34.07703693,44.85553061,1.095,0.37,37.8,220,10-Apr-15,Kirkuk
Dalli Abass-Kurd Ali,Al-Khalis,Diyala,34.06963956,44.85989045,1.095,0.119,34.3,35,10-Apr-15,Kirkuk
Mohammed Ali Village,Al-Khalis,Diyala,34.04549809,44.88205377,1.084,0.301,34.3,40,10-Apr-15,Kirkuk
Mohammed Taha Village,Al-Khalis,Diyala,34.03490537,44.87478459,1.081,0.146,28.2,35,10-Apr-15,Kirkuk
Somair village,Al-Khalis,Diyala,34.05691902,44.88446184,1.075,0.102,24,45,10-Apr-15,Kirkuk
Mala Abdullah,Kirkuk,Kirkuk,35.46,44.1,1.073,0.109,22.2,40,10-Apr-15,Kirkuk
